,,positive,negative
2017-11-03 16:00:00,2017-11-03 15:58:00,0.0078947368,0.003125
2017-11-03 15:58:00,2017-11-03 15:56:00,0.0105236539,0.0198547368
2017-11-03 15:56:00,2017-11-03 15:54:00,0.0232491756,0.0081195531
2017-11-03 15:54:00,2017-11-03 15:52:00,0.0388240232,0
2017-11-03 15:52:00,2017-11-03 15:50:00,0.0222292274,0.0062906679
2017-11-03 15:50:00,2017-11-03 15:48:00,0.0121846288,0.0135706721
2017-11-03 15:48:00,2017-11-03 15:46:00,0.0115131579,0.0074104532
2017-11-03 15:46:00,2017-11-03 15:44:00,0.0035430373,0.0030062135
2017-11-03 15:44:00,2017-11-03 15:42:00,0.0060586735,0.0043270378
2017-11-03 15:42:00,2017-11-03 15:40:00,0.0049748213,0.0227920228
2017-11-03 15:40:00,2017-11-03 15:38:00,0.01257404,0
2017-11-03 15:38:00,2017-11-03 15:36:00,0.0107781164,0.0046073718
2017-11-03 15:36:00,2017-11-03 15:34:00,0.0098288354,0.0074404762
2017-11-03 15:34:00,2017-11-03 15:32:00,0.0080151099,0.005712387
2017-11-03 15:32:00,2017-11-03 15:30:00,0.0108846856,0.0030364372
2017-11-03 15:30:00,2017-11-03 15:28:00,0.0054129464,0.0065830785
2017-11-03 15:28:00,2017-11-03 15:26:00,0.0197326837,0.0043885031
2017-11-03 15:26:00,2017-11-03 15:24:00,0,0.0035714286
2017-11-03 15:24:00,2017-11-03 15:22:00,0.0123106061,0.0136131725
2017-11-03 15:22:00,2017-11-03 15:20:00,0.0017752715,0
2017-11-03 15:20:00,2017-11-03 15:18:00,0.0318752109,0.0067845395
2017-11-03 15:18:00,2017-11-03 15:16:00,0.021771706,0.0050967601
2017-11-03 15:16:00,2017-11-03 15:14:00,0.0196436748,0.0054563492
2017-11-03 15:14:00,2017-11-03 15:12:00,0.0107626771,0.0066677131
2017-11-03 15:12:00,2017-11-03 15:10:00,0.0106352411,0.006392569
2017-11-03 15:10:00,2017-11-03 15:08:00,0.0063940159,0.0015269997
2017-11-03 15:08:00,2017-11-03 15:06:00,0.0079206893,0.0026653171
2017-11-03 15:06:00,2017-11-03 15:04:00,0.0076388889,0.0013888889
